Source,Target,Type
School371,Olaya,Undirected
School372,Portal de Usme,Undirected
School373,Portal de Usme,Undirected
School374,Portal del Tunal,Undirected
School375,Portal del Tunal,Undirected
School376,Portal de Usme,Undirected
School377,Portal de Usme,Undirected
Market378,Calle 187,Undirected
Market379,Calle 100,Undirected
Market380,Calle 142,Undirected
Market381,Calle 100,Undirected
Market382,Terminal,Undirected
Market383,Terminal,Undirected
Market384,Mazurén,Undirected
Market385,AV. 39,Undirected
Market386,Calle 57,Undirected
Market387,Universidades,Undirected
Market388,Las Aguas,Undirected
Market389,Portal 20 de Julio,Undirected
Market390,Portal 20 de Julio,Undirected
Market391,Portal 20 de Julio,Undirected
Market392,Portal 20 de Julio,Undirected
Market393,Portal 20 de Julio,Undirected
Market394,Portal 20 de Julio,Undirected
Market395,Portal de Usme,Undirected
Market396,Portal de Usme,Undirected
Market397,Portal de Usme,Undirected
Market398,Portal de Usme,Undirected
Market399,Portal de Usme,Undirected
Market400,Portal de Usme,Undirected
Market401,Biblioteca,Undirected
Market402,Consuelo,Undirected
Market403,Parque,Undirected
Market404,La Despensa,Undirected
Market405,Portal de las Américas,Undirected
Market406,Portal de las Américas,Undirected
Market407,Bosa,Undirected
Market408,Portal de las Américas,Undirected
Market409,Bosa,Undirected
Market410,Portal de las Américas,Undirected
Market411,Portal de las Américas,Undirected
Market412,Bosa,Undirected
Market413,Perdomo,Undirected
Market414,Patio Bonito,Undirected
Market415,Modelia,Undirected
Market416,AV. Américas - AV. Boyacá,Undirected
Market417,Patio Bonito,Undirected
Market418,Patio Bonito,Undirected
Market419,Transversal 86,Undirected
Market420,Transversal 86,Undirected
Market421,Madelena,Undirected
Market422,Transversal 86,Undirected
Market423,AV. Américas - AV. Boyacá,Undirected
Market424,Transversal 86,Undirected
Market425,Banderas,Undirected
Market426,Transversal 86,Undirected
Market427,Modelia,Undirected
Market428,Modelia,Undirected
Market429,Modelia,Undirected
Market430,Normandía,Undirected
Market431,Portal El Dorado,Undirected
Market432,Portal de la 80,Undirected
Market433,Quirigua,Undirected
Market434,Quirigua,Undirected
Market435,Granja - Carrera 77,Undirected
Market436,Portal de la 80,Undirected
